,area,area_code,position,full_info,id,description,tags,published,size,width,height,orientation,site,gender,alias
337,Operations & Business Analytics,29477,,"<p>  specializes in organizational behavior in an operational and supply chain management context, where she combines research, teaching and consultancy. Professor of operations and technology management and tenured professor –on leave of absence- at Universidad de Valladolid, she has participated in numerous national and international research projects. Dr.  contributed to such topics as supply chain resilience, Human-AI collaboration, social capital in Buyer-supplier relationships in diverse industries such as retail, computer manufacturing, distribution, manufacturer of construction and mining equipment, telecommunications. Her research has been published in numerous research articles in scientific journals like Journal of Operations Management, Journal of Management, Journal of Supply chain Management, Harvard Business Review, Sloan Management Review, Research Policy, Human Resources Management, Decision Sciences, Journal of the Operation Research Society, Management Learning, etc. In 2000 and 2011, the Academy of Management recognised her work as the best paper. She is a regular participant in the EUROMA (European Operation management Association), POMS, (production Operation Management sociality), DS (Decision Science) and Academy of Management conference.</p><p>She holds a Doctorate in Economic Sciences and Business Administration from Universidad de Valladolid, and an MA in Science and Technology Management, from Universidad Carlos III. Professor  graduated in economics and business administration at Universidad de Valladolid, Spain.</p><h4>ACADEMIC EXPERIENCE</h4><p>• Professor of Operations, IE University, 1999 – Present</p><p>• Head of the Operations &amp; Technology Department, IE University, 2021 – Present</p><p>• Director, DBA, IE University, 2006 – 2021</p><p>• Professor, Universidad de Valladolid, Spain, 1992 – 2011</p><h4>ACADEMIC BACKGROUND</h4><p>• PhD in Economics &amp; Business Administration, Universidad de Valladolid (Spain), 1995</p><p>• MA in Science and Technology Management, Universidad Carlos III, Madrid (Spain), 1992</p><p>• Degree in Economics &amp; Business Administration, Universidad de Valladolid (Spain), 1989</p><p>• Post-Doctoral Fellow, North Carolina University, Chapel-Hill (USA), 1996 – 1997</p><p>• Visiting Researcher, MIT, USA (2010 – 2011) (2019) (2022)</p><p>• Visiting Researcher, North Carolina University, Chapel-Hill, USA, 1996 – 1997</p><p>• CPCL-Harvard Business School, 2003</p><p>• Research Excelence Award, IE University, 2008</p><p>• Member of Numerous national and international research projects and author of work published in scientific journals and collective books</p><p>• Author of the book Factores Determinantes del Aprendizaje Organizativo. Un Modelo de Desarrollo de Products (Club Gestión de Calidad)</p><p><strong>SUSTAINABLE DEVELOPMENT GOALS (SDGs)</strong></p><p>8- Decent Work and Economic Growth</p><p>9- Industry, Innovation and Infraestructure</p><p>12- Responsible Consumption and Production</p>",20977,"A portrait of a middle-aged woman with a friendly expression, wearing a green top and subtle makeup.","['portrait', 'woman', 'friendly', 'green top', 'makeup']",2023-01-11T15:43:16.477Z,7840,200,200,S,global,1,Domitia Pulchra
338,Sustainable Development+Accounting & Management Control,40357,,"<p>She studied Law and Business Administration being originally more interested in the business branch, but she started working as a lawyer and she loved it. Notwithstanding, she has not been out of the business world not only because the majority of her clients are companies, but also because she teaches accounting for lawyers, as far as she considers that a company lawyer that cannot understand accounting, is not in a good position to give proper and complete legal advice to his corporate client. In her lessons she not only explains the accounting subject, but she links it with her professional experience as lawyer as well, mentioning real cases that help her students to understand the accounting subject and to get interest about it. With this aim to train lawyers with some added value, she has taught lessons in which corporate, accountancy and tax matters were all mixed in a sole case, in order to make the students solve it from all those perspectives. As a lawyer she is interested in civil law, corporate law, bankruptcy law, economical crimes and litigation, dealing with cases that very often involve some of these areas at the same time. She has been Secretary of ICADE Asociación and, throughout the law office LEXINTER ABOGADOS (where she works), she is also a part of the international lawyers network “International Jurists”. She has published in the law magazine LA LEY, in the International Jurists magazine and in the Asociación Balear de Directivos magazine.</p><h4>Corporate Experience</h4><p>• Lawyer in LEXINTER ABOGADOS, Spain, 1998-Present</p><h4>Academic Experience</h4><p>• Professor of Accounting, IE Law School, Spain, 2002-Present</p><h4>Academic Background</h4><p>• Graduate in Law, Pontificia de Comillas University (ICADE), Spain, 1997.</p><p>• Diploma in Business, Pontificia de Comillas University (ICADE), Spain, 1997.</p><p>• Masters in Company Legal Consultancy (MAJ), IE Law School, Spain, 1998.</p>",16198,A woman in professional attire looks intensely off-camera during a discussion or meeting.,"['woman', 'professional', 'meeting', 'intense', 'discussion']",2022-11-18T07:23:57.364Z,8455,170,170,S,global,1,Calpurnia Pulchra
339,Information Systems & Technology,29474,,"<p> , Ph.D., MBA, is a technology strategist intrapreneur specialized in digital transformation and emerging technologies. She has experience driving high tech initiatives into the market internationally, creating new digital products, and business units from the ground up. She has worked with big corporations IBM, Microsoft, Nokia, Oliver Wyman, Ernst &amp; Young, Cap Gemini, IADB, in executive roles creating business units to launch high-tech solutions based in mobile, AI, and quantum computing, creating the enabling ecosystem mostly for telco, finance, and health care industries.</p><p>She is passionate about the practicality of STEM and advises CXOs on how to operationalize innovation and show the practicality of forward-looking technologies by designing solution proof of concepts for health care, retail banking, social solutions, cloud computing, financial products, IoT, or security biometrics.</p><p> is a seasoned professor teaching technology strategy to executives, master, and undergraduate students. Her teaching curriculum includes quantum computing, disruptive technologies, mobile computing, digital transformation, and project management strategies.  She links STEM with business through outreach activities:</p><p>•  Article publication at technology magazines (IBV, Byte, Computer, El Independiente, Consejeros, IEEE)</p><p>•  Subject matter expert for interviews (El Pais, El Mundo, La Ser radio)</p><p>•  Keynotes for international industry events:  Telefonica Movil Forum. Vodafone Partner Program, IBM Think Annual Conference, CIAB Technology congress, IEEE, CSIC, InnoLab)</p><p>•  Fortune 500 companies and Analysts technology briefings on Quantum, Cloud, and Mobile Computing</p><h4>Corporate Experience</h4><p>•  Quantum Computing Business Worldwide Lead, IBM. Washington DC, New York, 2018</p><p>•  Technology Innovation Principal. Inter-American Development Bank. LATAM, Washington DC, 2015</p><p>•  Technology Strategist. Global Corporate Strategy. Microsoft. Madrid, London, Washington DC, 2011</p><p>•  Innovation and Ecosystems Executive Director. Nokia Mobile Phones. Madrid, NY, 2014</p><p>•  Oliver Wyman. Program Manager Telco. Brazil, Colombia, India, Portugal, Switzerland, South Africa, 2001</p><p>•  Cap Gemini, Ernst &amp; Young. Software Consultant.  Spain, Italy, Brazil, 1996</p><h4>Academic Experience</h4><p>•  Adjunct Professor, Information Systems, IE Business School, Madrid, 2009</p><p>•  Adjunct Professor, Telematics Engineering, Universidad Carlos III, 2010</p><p>•  Invited lecturer:  MIT SLOAN, Universidad Politecnica, 2006</p><p>•  Panel jury: MBA entrepreneur projects, Telecommunications Engineering BSc, MSc, and PhD, 2010</p><p>•  Mentor: IE Impact Labs, IE Women in Tech, Universidad Carlos III Undergrad Engineering Thesis, 2010</p><h4>Academic Background</h4><p>•  Continuous Education Program in Quantum Computing. MIT. Cambridge, MA, US,  2019</p><p>•  Certificate: Artificial Intelligence: Implications for business strategy. MIT.  Cambridge, MA, US, 2018</p><p>•  Certified Scrum Product Owner ® (CSPO #790924). SCRUM Alliance Worldwide, 2018</p><p>•  Ph.D. Telecommunications Engineering (Telematics) focus on ML.  UC3M.  Madrid, Spain, 2012</p><p>•  Short program “Data Models in Engineering, Science, &amp; Business”. MIT. Cambridge, MA, US, 2009</p><p>•  M.Sc. Telecommunications Engineering (Telematics). UC3M. Madrid, Spain, 2008</p><p>•  Graduate course “Cross-Border Innovation”. Harvard University. Cambridge, MA, 2006</p><p>•  Executive MBA. IE Business School. Madrid, Spain, 2003</p><p>•  B.Sc. Double major Mathematics &amp; Computer Science. University of Michigan. Ann Arbor, MI, 1996</p>",16758,"A smiling woman with blond hair, wearing a light blue blazer, stands in front of a floral background.","['woman', 'smiling', 'blond hair', 'blue blazer', 'floral background']",2022-11-18T12:14:57.208Z,52483,200,200,S,global,1,Horatia Severa
340,Marketing & Communication,29476,,"<p>  is an Assistant Professor of Marketing at IE University, specializing in consumer behavior. Her research interests spread across two main lines of research. In the first, she focuses on taste perceptions. She explores what makes consumers perceive a product as differentiated by both quality and taste and what consequences that brings within a marketing context. In the second, she investigates consumers' impression management strategies. She studies what consumers share with others, especially online, and how that evolves over time.</p><p>Prior to joining IE University, she taught Marketing Fundamentals at the University of Southern California. At IE University,  is teaching Marketing Fundamentals at the Undergraduate level.</p><h4>Academic Experience</h4><p>• Assistant Professor of Marketing, IE University, 2023 - Present</p><h4>Academic Background</h4><p>• Ph.D. in Business Administration, University of Southern California, USA, 2023</p><p>• M.S. in Business Administration, Bocconi University, Italy, 2014</p><p>• B.S. in Business Administration, Bocconi University, Italy, 2012</p><p><strong>SUSTAINABLE DEVELOPMENT GOALS (SDGs)</strong></p><p>3- Good Health and Well-Being</p><p>8- Decent Work and Economic Growth</p><p>12- Responsible Consumption and Production</p>",32934,A woman with long dark hair wearing glasses and a floral blouse smiles gently against a gray concrete background.,"['woman', 'glasses', 'smile', 'floral blouse', 'concrete background', 'portrait']",2023-09-15T10:03:49.835Z,17423,300,300,S,global,1,Valeria Drusa
341,Human Resources & Organisational Behaviour,29473,"Professor, Master in Talent Development &amp; Human Resources","<p>For over 25 years, Beth  has delivered cutting-edge talent management and learning solutions as an employee of Tesla, Microsoft, Apple, and Gap, and as a consultant. She has acquired expertise in culture-focused onboarding, leadership development, sales and product training, manufacturing training, compliance programs, media-enabled learning, and new learning technologies.</p><p>Currently, Beth serves as an advisor to EdTech startups, hosts the Career Curves podcast, and speaks at conferences. Recognized as an industry expert, she’s been a featured at conferences in the US, Singapore, Austria, Mexico, Colombia, and the United Arab Emirates.</p><p>Beth earned a bachelor’s degree at Indiana University and a law degree from Stanford University. In 2016, IU named her a Luminary as a distinguished Alumna, an honor bestowed on just 12 people before her.</p><h4>Corporate Experience</h4><ul><li>Director of Learning &amp; Development, Tesla Inc., USA 2011-2017</li><li>Director of Customer Experience and Training, Microsoft, USA 2009-2011</li><li>Director of Retail Talent Development, Apple Inc., USA 2003-2008</li><li>Also worked in HR at Gap Inc. for 7 years and as an independent consultant for 8 years</li></ul><h4> Academic Experience</h4><ul><li>Adjunct Professor in Talent Development &amp; Human Resources, IE University, Spain, 2018-Present</li></ul><h4>Academic Background</h4><ul><li>JD, Stanford Law School, USA, 1988</li><li>Bachelor in Criminal Justice &amp; Sociology, Indiana University, USA, 1984</li></ul>",16759,"A black and white portrait of a smiling woman with shoulder-length hair, wearing a zip-up top, outdoors.","['portrait', 'woman', 'smiling', 'black and white', 'outdoors', 'zip-up top']",2022-11-18T12:14:58.562Z,24576,200,200,S,global,1,Pompeia Flacca
342,Marketing & Communication,29476,,"<p>  is the founder of Contemporary Empathy; a company which seeks to make the business world more human centred through training professionals in the areas of emotional intelligence, creativity, and communication. She is an experienced facilitator and learning experience designer, whose style integrates professional theatre and design thinking techniques; putting play, creativity, and interaction at the forefront of learning. </p><p> believes that combining effective communication skills and human centered design is the key to forging successful professional relationships, and is currently focusing on the complexities, challenges, and opportunities of the changing future of work. </p><p>Working with a diverse range of clients and sectors on transformational projects has led  to have a holistic approach to learning and development. From clients such as Emzingo to E.I.T, Impact Hub to N.H.S Wales, she has a broad experience of organisational culture and communication.</p><p> has a professional background in CX, innovation, design, theatre, and education. She is currently an assisting faculty member of the Instituto Europeo de Diseño in Madrid (IED) and with the University of Cardiff in Wales. She is also a member of the Headspring Executive Education faculty.</p><p>At IE University  teaches on a range of Masters level programmes such as the MCXI (Master in Customer Experience and Innovation) and LLM (Master of Law) as well as Bachelors programmes such as the BCDM (Bachelor of Communication and Digital Media), and the social innovation focused IE Challenge.  is also a member of faculty at the Centre of Health, Wellbeing and Happiness running Advanced Seminars in storytelling and dialogue skills. She had been recognised by the IE Awards for Teaching Excellence for the three years she has been a member of the adjunct faculty.</p><h4>Corporate Experience</h4><p>• Professor of Communication and Innovation, Headspring, Spain, 2022 - Present</p><p>• Founder and Experience Designer, Contemporary Empathy, Spain, 2020 - Present</p><p>• Strategic Design Consultant, The Human Factor, Spain, 2019 - 2020</p><p>• Head of Drama Department, Holy Mary British School, Spain, 2016 - 2018</p><p>• Strategic Coordinator, El Maravilloso Mundo de los Niños, Spain, 2015 - 2018</p><p>• Interacting Theatre Academy Business Development Director, Spain, 2013 - 2015</p><p>• Actress, Interacting Theatre Company, Spain and Ireland, 2012 - 2015</p><p>• Performance and Vocal Coach,  , Spain and UK, 2012 - 2018</p><h4>Academic Experience</h4><p>• Adjunct Professor of Empathy and Dialogue Skills, Master of Design and Innovation,  IED (Istituto Europeo di Design) , Spain, 2021 - Present</p><p>• Adjunct Professor of Storytelling and Presentation Skills, Master of Design and Innovation,  IED (Istituto Europeo di Design) , Spain, 2021 - Present</p><p>• Adjunct Professor of Design Thinking and Innovation, IE Challenge, IE University, Spain, 2021 - Present</p><p>• Adjunct Faculty of Innovation and Communication, Headspring Executive Development, 2021 - Present</p><p>• Adjunct Professor of Empathy and Dialogue Skills, Diploma in Healthcare Planning, Cardiff Business School, Wales, UK, 2020 - Present </p><p>• Adjunct Faculty member, Advanced Seminar in Storytelling and Dialogue Skills, Centre for Health, Wellbeing &amp; Happiness, IE University, Spain, 2021 - Present</p><p>• Adjunct Professor of Design Thinking, LLM, IE Law School, Spain, 2021 - Present </p><p>• Adjunct Professor of Creativity and Innovation Labs, Bachelor in Communication and Digital Media, IE University, Spain, 2020 - Present</p><p>• Adjunct Professor of Theatre for Innovation and Communication, Master in CX and Innovation, IE Business School, Spain, 2020 - Present</p><p>• Mentor, Master in CX and Innovation, IE HST, Spain, 2019 - 2021</p><h4>Academic Background</h4><p>• MsC in Customer Experience and Innovation, IE Business School, Spain, 2019</p><p>• Bachelor in Drama and Theatre Studies , Trinity College Dublin, Ireland, 2012</p>",74397,"A professional portrait of a smiling woman with long brown hair, wearing a white shirt and black blazer against a white background.","['professional', 'portrait', 'woman', 'smiling', 'brown hair', 'white shirt', 'black blazer', 'white background']",2024-03-15T08:18:49.239Z,103896,500,500,S,global,1,Claudia Minor
343,Human Resources & Organisational Behaviour,29473,,"<p>  teaches a variety of different psychology-related courses at IE University and IE Business School.  She holds a PhD in Developmental Psychology from the University of Michigan and her research interests are in cognition and learning.  Her research has examined the connection between language and literacy across cultures and in populations of children from low-income backgrounds.   She has also studied and developed methods that use cognitive principles to improve language learning. Dr.  has conducted research in the US and in China and has worked in various not-for-profit organizations focused on improving education for children in poverty in the United States including Teach for America, AmeriCorps, and KIPP.</p><h4>Professional Experience</h4><p>• Professor, Teach for America Fellow and KIPP (Knowledge is Power Program), Houston ISD, US, 1996 - 1999</p><p>• Americorps Fellow, East Bay Conservation Corps &amp; Center for Human Growth and Development, US 1994 - 1996</p><h4>Academic Experience</h4><p>• Adjunct &amp; Assistant Professor, IE University, 2019 - Present</p><p>• Assistant Professor, IE University, 2011 - 2019</p><p>• Postdoctoral Fellow, University of Michigan, US, 2007 - 2009</p><p>• Research and Training Coordinator, University of Michigan Children’s Centers, US, 2005 - 2007</p><p>• Research Assistant, Stanford University, US, 1999 - 2001</p><h4>Academic Background</h4><p>• PhD Psychology, University of Michigan, US, 2007</p><p>• BA Psychology, Harvard University, US, 1994</p>",36971,A woman in glasses and a striped shirt smiling on a city street.,"['woman', 'glasses', 'striped shirt', 'city', 'street', 'smiling']",2024-01-26T10:39:19.349Z,35078,216,216,S,global,1,Flavia Flacca
344,Accounting & Management Control+Sustainable Development,29808,,"<p>  is an Assistant Professor in the Department of Accounting and Management Control. She holds a PhD in Business and Quantitative Methods from Universidad Carlos III (Madrid, Spain). Her research interests are broadly in the capital markets arena, with a focus on the interplay between corporate governance mechanisms and firms’ financial reporting practices.  has published in leading academic journals such as Journal of Corporate Finance and Accounting and Business Research. She has acted as reviewer for the European Accounting Review, Accounting and Business Research, Journal of Accounting and Public Policy, the Spanish Journal of Financial and Accounting, and Business Research Quarterly.</p><p>Prior to joining IE University,  was a research and teaching assistant of Financial Accounting at Universidad Carlos III de Madrid. During her doctorate studies, she has been a visiting researcher in the Accounting Department at Kenan-Flagler Business School, University of North Carolina at Chapel Hill.</p><h4>ACADEMIC  EXPERIENCE</h4><p>• Assistant Professor in Accounting, IE University, since 2016</p><p>• Teaching Assistant, Carlos III University of Madrid, 2012 – 2016</p><p>• Visiting researcher, Kenan-Flagler Business School, University of North Carolina at Chapel Hill, 2015</p><h4>ACADEMIC BACKGROUND</h4><p>• PhD in Business and Quantitative Methods, Carlos III University of Madrid, 2012 – 2016</p><p>• Master in Business Administration and Quantitative Methods, Carlos III University of Madrid, 2010 – 2012</p><p>• BSc in Finance and Banking, Academy of Economic Studies, Bucharest, 2007 – 2010</p><p><strong>SUSTAINABLE DEVELOPMENT GOALS (SDGs)</strong></p><p>5- Gender Equality</p><p>8- Decent Work and Economic Growth</p><p>10- Reduced Inequalities</p>",16761,"A portrait of a smiling woman with long, dark hair, wearing a white jacket and a patterned blouse.","['woman', 'smiling', 'portrait', 'long hair', 'white jacket', 'patterned blouse']",2022-11-18T12:15:00.988Z,23576,400,400,S,global,1,Domitia Minor
345,Operations & Business Analytics,29477,,"<p>  Linero is CTO in Foqum Analytics, a company devoted to delivering Machine Learning solutions to businesses and institutions across sectors, since 2014. He has originated, managed and delivered projects and solutions from SMEs to large public companies in Spain, Europe and Latin America. His experience and contacts range from the banking and insurance industries, to law, healthcare, manufacturing and energy among other sectors. He was an intern for the Fixed Income Division at Morgan Stanley, London in 2008.</p><p>He holds a PhD in Physics from Universidad Complutense de Madrid for his thesis in ""Entanglement and Topology in Optical Lattices"" and has authored several relevant scientific publications and conferences. He holds a MSc in Fundamental Physics and a TransformTECH Diploma at the IMD Business School. He has received academic awards such as the Golden Medal in the Spanish Physics Olympiad, the silver Medal in the Spanish Mathematical Olympiad, or the Young Researchers Prize for his work in Game Theory compilers.</p><h4>Corporate Experience</h4><p>• Intern in Fixed Income Division, Morgan Stanley, London, 2008 </p><p>• Predoctoral Researcher, CSIC, Madrid, 2010 - 2014</p><p>• CTO in Foqum Analytics, Madrid, 2015</p><h4>Academic Background</h4><p>• Bachellor in Physics, Universidad Autonoma de Madrid,  Spain, 2009</p><p>• Master in Fundamental Physics, Universidad Complutense, Spain, 2010</p><p>• PhD in Quantum Information, Universidad Complutense, Spain, 2014</p>",81487,"A cheerful bearded man in a black blazer and white shirt, smiling warmly.","['man', 'beard', 'smiling', 'blazer', 'white shirt', 'cheerful']",2024-03-19T13:56:09.419Z,70739,448,448,S,global,0,Gaius Sergius Sulla
346,Marketing & Communication,29476,,"<p>Professional Senior, 17 years’ experience, in Marketing, Trade Marketing and Sales in international FMCG/Pharma Companies. Very versatile profile, recognised leadership capabilities, drive for results, excellent communication and influencing skills. Creative, innovative, passionate about driving change. Loves people interaction, coaching and development.</p><p>Professor at IE University and Istituto Europeo di Design, advisor at IE University.</p><h4>Corporate Experience</h4><p>• Oct 2019- Current: Managing Director UTECA, Spain.</p><p>• Sept 2017- Current: Freelance</p><p>• April 2014- Sept 17: Sandoz Pharmaceutical (Novartis Group). Business Unit Manager OTC Spain</p><p>• Feb 2011- Nov. 2013: British American Tobacco</p><p>• Head of Business Development (Trade Marketing) &amp; Gibraltar Country Manager</p><p>• 2006- 2011: Kraft Foods Spain: FMCG</p><p style=""padding-left:30px"">• 2009- 2011: Category Planner Manager Cheese</p><p style=""padding-left:30px"">• 2008-2009: Brand Manager Senior Local Brands</p><p style=""padding-left:30px"">• 2006-2008: Brand Manager Cheese, El Caserío</p><p>• 2002-2006: Unilever España: FMCG</p><p style=""padding-left:30px"">• 2005- 2006: Timotei + Hair Brand and Trade Manager</p><p style=""padding-left:30px"">• 2002-2005: Marketing and Trade Marketing Assistant</p><h4>Academic Experience</h4><p style=""padding-left:30px"">• 2011-2015: IE Advisor</p><p style=""padding-left:30px"">• 2013-2019: IE University Professor (Unplugged, The Marketing Workshop)</p><p style=""padding-left:30px"">• 2019: IE University Professor (Marketing Management)</p><p style=""padding-left:30px"">• 2006-2019: Professor IED, Master Communication and Marketing</p><h4>Academic Background</h4><p>• Bachelor in LAW, Universidad Pontificia de Comillas (ICADE E-3), 2001</p><p>• Bachelor in Business Administration, Universidad Pontificia de Comillas (ICADE E-3), 2002</p><p>• Senior Management Program (SMP) IE Business School, 2014</p>",16200,A professional man in a blue suit jacket standing with arms crossed in an office setting.,"['professional', 'man', 'blue suit', 'office', 'arms crossed']",2022-11-18T07:24:00.517Z,9863,170,170,S,global,0,Gaius Tullius Brutus
347,Information Systems & Technology,29474,,"<p>My name is   and I am an expert in creating multicultural operational teams in VUCA environments. I’ve been acquiring experiences during more than 20 years in top level fashion companies.   is an expert in developing multicultural teams in fast-paced, complex environments. She has gathered experiences for more than 20 years in large companies such as Mango or Inditex, where she has worked in roles such as Global Development Director or International People &amp; Operations Director. She has implemented high impact projects in cities such as London, New Delhi, Berlin, Mexico City, New York, Shanghai, Paris or Moscow.</p><p>In 2016 she launched her own project as People &amp; Organisation Shaker. Since then, she works together with organisations of all sizes and industries and their teams to help streamline and operationalize their structures and create business models that deliver extraordinary and sustainable results.</p><p>Among their global clients are Inditex, L’Oréal, Euroleague Basketball, Coca-Cola, NH Hotel Group, SONAE, Médecins Sans Frontières or Almirall.</p><p> ’s projects involve concepts such as organizational architecture, operational agile, how to inspire diverse teams, operational innovation or agile talent management.</p><p>She is part of the faculty of the IE School of Human Sciences &amp; Technology (Teaching Excellence Award 2019, 2020 and 2021) and she is a regular contributor at several IE’s Executive Programmes.</p><p>Please visit <a href=""https://www.emmaginer.com/"" target=""_blank"">www.emmaginer.com</a> to learn more about  ’s clients and projects or to read her articles.</p><h4>CORPORATE EXPERIENCE</h4><p>• People &amp; Organisation Shaker and Founder,   Power to the People, Spain, since 2016</p><p>• International People &amp; Operations Director, INDITEX (Massimo Dutti), Spain, 2009 – 2016</p><p>• Global Development Director, INDITEX, Spain, 2007 – 2009</p><p>• T&amp;D Director, INDITEX (Massimo Dutti), Spain, 2002 – 2007</p><p>• T&amp;D Director, INDITEX (Oysho), Spain, 2001 – 2002</p><p>• International Training Manager, MANGO, Spain, 1998 – 2001</p><h4>ACADEMIC EXPERIENCE</h4><p>• Adjunct Professor of Digital Business &amp; Innovation, IE University, Spain, 2018 – Present</p><p>• Adjunct Professor of Team Management (Senior Management Programme, Advanced Management Programme, High Impact Leadership, Project Management Programme, Executive School). IE University, Spain, 2019 – Present</p><h4>ACADEMIC BACKGROUND</h4><p>• Bachelor in Translation and Interpreting, UAB, Spain, 1996</p><p>• International Management Programme. ESADE &amp; Georgetown University, Spain-USA, 2011</p>",20593,"A joyful middle-aged woman with a bright smile, sitting indoors","['woman', 'smiling', 'indoor', 'happy', 'middle-aged']",2022-12-28T12:31:28.778Z,54517,200,200,S,global,1,Sergia Drusa
348,Dispute Resolution & Legal Practice,40355,,"<p> has over 15 years' experience in civil and commercial litigation, both before courts and in international (ICC, LCIA) and domestic (CAM, CEA, CIMA) commercial and investment (ICSID) arbitration. She advises clients on disputes relating to commercial contracts, corporate disputes and directors' liability, unfair competition and financial contracts. She is an expert in cassation and procedural infringement appeals before the Supreme Court. She currently teaches arbitration at IE University Law School and at the University of Navarra and regularly participates in courses and conferences. Prior to joining A&amp;O,  worked at Linklaters, Bird&amp;Bird and Garrigues.</p><h4>Corporate Experience</h4><p>• Counsel, Allen &amp; Overy, Madrid, 2019 </p><p>• Managing Associate, Linklaters, Madrid, 2012 - 2019 </p><p>• De Castro Morenilla, Madrid, 2008 - 2012 </p><p>• Bird &amp; Bird, Madrid, 2007 - 2008 </p><p>• Garrigues, Madrid, 2004 - 2007 </p><p>• Ramón Mijares y Asociados, Oviedo, 2002 - 2003</p><h4>Academic Experience</h4><p>• Professor of Advocacy, IE International Business School, International Law University Spain, 2020 - Present</p><p>• Professor of arbitration practice, University of Navarra, Faculty of Law, 2017 - 2021</p><p>• Professor of enforcement of contracts and directors’ liability, Universidad Autónoma de Madrid, Faculty of Law, 2012 - 2016</p><p>• Professor of International Dispute Resolution, San Pablo CEU University, 2015</p><p>• Part-time associate professor of Procedural Law I and II, University of Castilla La Mancha, Faculty of Legal and Social Sciences, 2008 - 2012</p><h4>Academic Background</h4><p>• XIII Harvard Course in Law and Economics, Harvard Law School, 2016</p><p>• LL.M., IE, Madrid, 2003 - 2004</p><p>• Graduate in Law, University of Oviedo, Faculty of Law, 1997 - 2002. </p><p>• Professional Internship in Civil and Criminal Law at the Yves Brugière Avocats office in Nice (France), 1999</p><p>• Honors in COU and Extraordinary High School Award, Colegio Maristas de Oviedo, 1993 - 1997</p>",25627,A smiling woman with curly blonde hair wearing a red blazer and a white top in an office setting.,"['woman', 'smiling', 'blonde hair', 'red blazer', 'white top', 'office']",2023-03-17T11:10:31.960Z,60995,200,200,S,global,1,Aemilia Severa
349,Finance,29472,,"<p>  is currently Independent Board Director of Iberdrola España.</p><p>Prior to this position,  was Vice-President of the European Investment Bank, the world’s largest multilateral Bank and largest financier of climate projects, where she led its Sustainability and Climate Action Strategy.</p><p> has held the position of President of ICO, the Spanish National Promotional Bank and State Financial Agency.</p><p>During her career in the Spanish public administration, she served as Secretary General for the Treasury and Financial Policy. She was also a member of the Boards of Bank of Spain, of the National Securities Market Commission (CNMV), of the FROB (the Spanish Executive Resolution Authority) and the Vice-Chairperson of the Deposit Guarantee Fund.</p><p>She has represented Spain in many European and international financial bodies, as an alternate member of the Eurogroup and Ecofin and alternate representative to the G20-Finance track meetings, a Board director of the European Stability Mechanism (ESM) and a member of the Financial Stability Board (FSB).</p><p>She has held other positions of responsibility in various departments of the Spanish General State Administration and has been adviser at the IMF to the Executive Director for Mexico, Spain, Colombia and Venezuela.</p><h4>Corporate Experience</h4><p>• Board member of Iberdrola España, Spain, 2021 - Present</p><p>• Vice-president of the European Investment Bank, Luxembourg, 2018 - 2020</p><p>• Secretary General of the Treasury and Financial Policy, Ministry of Economy and Competitiveness, Spain, 2016 - 2018</p><p>• President and CEO of the Instituto de Crédito Oficial (ICO), 2015 - 2016</p><p>• Vice-President of the Long-Term Investors Club (2016)</p><p>• Chief of Staff of the Minister of Economy and Competitiveness (2014 - 2015)</p><p>• Adviser to the Executive Director for Mexico, Spain, Colombia and Venezuela</p><h4>Academic Experience</h4><p>• Lecturer in different postgraduate graduate courses (INAP, Universidad de Navarra, Spanish College of Diplomacy)</p><h4>Academic Background</h4><p>• Member of Spain’s highest-ranking Civil Servant Corps as State Economist and Trade Expert. 2005</p><p>• Double Post-graduate degree in EU legal and economic studies from Paris I Panthéon-Sorbonne University and Complutense University of Madrid. 1998</p><p>• Degree in EU Law (Título Propio), Universidad San Pablo CEU. 1998</p><p>• Bachelor’s Degree in Law, Universidad San Pablo CEU. 1997</p>",16765,"A professional woman with long blonde hair, wearing a white jacket, smiles gently in an indoor setting with a modern, architectural background.","['professional', 'woman', 'blonde hair', 'white jacket', 'smiling', 'indoor', 'modern architecture']",2022-11-18T12:15:06.678Z,20540,200,200,S,global,1,Julia Caesaria
